Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1124    0.008    0.000   11.608    0.010 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:97(handle_world)
     1124    0.045    0.000    0.743    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:694(render_visible_entities)
     1124    0.010    0.000    1.883    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:719(render_rightside)
     1124    0.010    0.000    3.552    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:786(render_gui)
     1124    0.010    0.000    5.859    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:795(render)
     1124    0.011    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:42(get_names_at_location)
     1124    0.007    0.000    0.008    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:80(get_tile_name_at_location)
     1124    0.004    0.000    0.009    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:90(render_character_name)
     1124    0.006    0.000    0.016    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:96(render_gameinfo)
     1124    0.009    0.000    0.024    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:104(render_health_bar)
     1124    0.007    0.000    0.019    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:117(render_mana_bar)
     1124    0.035    0.000    0.650    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:137(render_character_status)
     1124    0.021    0.000    0.479    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:184(render_character_state)
     1124    0.008    0.000    0.038    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:345(render_names_at_mouse_location)
     1124    0.005    0.000    1.643    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:61(render)
      968    0.004    0.000    0.004    0.000 {method 'from_buffer' of 'CompiledFFI' objects}
