Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9856    0.022    0.000    0.182    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:336(_split_chunks)
     3581    0.022    0.000    0.150    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
   140560    0.021    0.000    0.021    0.000 {built-in method builtins.id}
   183708    0.021    0.000    0.021    0.000 {built-in method builtins.abs}
     1124    0.021    0.000    0.479    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:184(render_character_state)
    16348    0.020    0.000    0.020    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:134(<genexpr>)
     6780    0.019    0.000    0.165    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:352(<genexpr>)
    90830    0.018    0.000    0.018    0.000 {method 'pop' of 'list' objects}
    13503    0.018    0.000    0.176    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:485(get_target)
     1583    0.017    0.000    0.020    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:185(outer)
    12598    0.017    0.000    0.018    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:402(check_if_enemy)
    15030    0.017    0.000    0.017    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:20(__init__)
     9856    0.016    0.000    0.016    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:115(__init__)
    48232    0.016    0.000    0.016    0.000 {built-in method builtins.pow}
   104201    0.015    0.000    0.015    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:182(_deepcopy_atomic)
     9856    0.015    0.000    0.015    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:179(<listcomp>)
     6400    0.015    0.000    0.154    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:266(wall_desert)
   123026    0.014    0.000    0.014    0.000 {built-in method builtins.ord}
     6400    0.014    0.000    0.150    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:288(wall_ancient_ruins)
     3581    0.014    0.000    0.015    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
      540    0.014    0.000    1.338    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:550(perform)
    15451    0.014    0.000    0.014    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:442(check_for_immobility)
      755    0.014    0.000    0.030    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\map.py:173(compute_fov)
      209    0.013    0.000    0.048    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:797(add_edges)
       25    0.013    0.001    0.014    0.001 {built-in method io.open}
     9856    0.013    0.000    0.049    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:146(_munge_whitespace)
     1124    0.013    0.000    2.252    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:135(render)
     4013    0.013    0.000    0.013    0.000 {method 'new' of 'CompiledFFI' objects}
     3581    0.013    0.000    0.017    0.000 {built-in method builtins.all}
     1235    0.013    0.000    0.032    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:858(dispatch)
     1160    0.012    0.000    0.463    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\context.py:174(present)
     1672    0.012    0.000    0.026    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:694(add_edge)
     3001    0.012    0.000    0.030    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:46(choose_terrain)
     8305    0.012    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\actor_state.py:230(hunger_state)
      610    0.012    0.000    4.563    0.007 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:955(perform)
      531    0.011    0.000    0.015    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:123(do_environmental_effects)
      299    0.011    0.000    0.015    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:40(inner_tiles)
     1124    0.011    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:42(get_names_at_location)
      694    0.011    0.000    0.024    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:243(from_sdl_event)
     1358    0.011    0.000    1.626    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:382(target_actor)
     6181    0.011    0.000    0.015    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\edible.py:58(time_pass)
      530    0.010    0.000    1.284    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:351(do_environmental_effects)
     4496    0.010    0.000    0.017    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:1088(draw_rect)
      118    0.010    0.000    0.010    0.000 {built-in method tcod._libtcod.TCOD_console_printn_frame}
     1124    0.010    0.000    1.883    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:719(render_rightside)
     1124    0.010    0.000    3.552    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:786(render_gui)
      866    0.010    0.000  101.333    0.117 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:722(wait)
     8814    0.010    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\base_component.py:18(engine)
     1124    0.010    0.000    5.859    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:795(render)
        3    0.009    0.003    0.009    0.003 {built-in method tcod._libtcod.TCOD_console_blit}
     3344    0.009    0.000    0.012    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:602(_as_hashable)
     1124    0.009    0.000    0.024    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:104(render_health_bar)
3865/3623    0.009    0.000    0.122    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:200(_deepcopy_list)
    14442    0.009    0.000    0.015    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:164(spend_action_point)
     3706    0.008    0.000    0.087    0.000 <__array_function__ internals>:2(copyto)
     1354    0.008    0.000    0.013    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:348(__init__)
     1124    0.008    0.000    0.038    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:345(render_names_at_mouse_location)
    10005    0.008    0.000    0.011    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:242(_keep_alive)
        4    0.008    0.002    0.011    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:189(search_empty_convex)
     3581    0.008    0.000    0.166    0.000 <__array_function__ internals>:2(broadcast_arrays)
     1124    0.008    0.000   11.608    0.010 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:97(handle_world)
      694    0.008    0.000    0.013    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:234(__init__)
        2    0.007    0.004    0.142    0.071 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:426(generate_tunnels)
     3735    0.007    0.000    0.020    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:608(name)
      282    0.007    0.000    0.008    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\experience.py:83(level_up)
     1125    0.007    0.000    6.704    0.006 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:94(handle_events)
     1235    0.007    0.000    0.008    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:150(__init__)
      755    0.007    0.000    0.007    0.000 {built-in method tcod._libtcod.TCOD_map_compute_fov}
     7005    0.007    0.000    0.007    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:584(char)
     1333    0.007    0.000    0.085    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:264(<listcomp>)
    23298    0.007    0.000    0.007    0.000 {built-in method math.sqrt}
     3753    0.007    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\item_state.py:72(check_if_semi_identified)
     1124    0.007    0.000    0.019    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:117(render_mana_bar)
     1124    0.007    0.000    0.008    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:80(get_tile_name_at_location)
     9856    0.007    0.000    0.007    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:17(full_text)
     2213    0.006    0.000    0.006    0.000 {built-in method numpy.empty}
        7    0.006    0.001    1.264    0.181 c:\Users\user\Desktop\Geophyte_prealpha\src\title.py:88(get_title_action)
    11658    0.006    0.000    0.006    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:260(<genexpr>)
     1125    0.006    0.000    0.010    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\context.py:241(convert_event)
     1124    0.006    0.000    0.016    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:96(render_gameinfo)
      333    0.006    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:1656(ev_keydown)
      132    0.006    0.000    0.654    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:473(perform)
    10676    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
     9980    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
1369/1174    0.006    0.000    0.044    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:209(_deepcopy_tuple)
     1154    0.006    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
     6402    0.006    0.000    0.010    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:408(<listcomp>)
     3581    0.006    0.000    0.009    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:256(<listcomp>)
     1124    0.005    0.000    1.643    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:61(render)
     1527    0.005    0.000    0.006    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:294(outer)
